"number" "anime_name_english" "anime_name_japanese" "rating" "favorite_count" "user_count" "airing_start" "year" "month" "day" "airing_end" "popularity_rank" "rating_rank" "age_rating" "age_rating_Guide" "total_episode" "total_length" "Genres" "Categories"
43708 "yuukoku-no-moriarty-2nd-season" "憂国のモリアーティ" 82.05 1 521 "2021-04-04" 2021 4 4 "2021-06-27" 6265 196 "R" "17+ (violence & profanity)" 13 312 "" "Shounen/Psychological/Mystery/Historical"
43933 "vivy-fluorite-eye-s-song" "Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-)" 82.04 0 2 "2021-04-03" 2021 4 3 "2021-06-19" 17144 204 "R" "17+ (violence & profanity)" 13 0 "" "Science Fiction/Action/Drama/Thriller/Android/Robot/Time Travel/Idol"
43849 "ousama-ranking" "王様ランキング" 82.02 0 11 "2021-10-14" 2021 10 14 NA 16732 219 "PG" NA 23 0 "" "Action/Adventure/Comedy/Fantasy/Historical/Seinen"
44503 "shiguang-daili-ren" NA 82.01 0 0 "2021-04-30" 2021 4 30 "2021-07-09" 18427 226 "PG" "Teens 13 or older" 11 220 "" "Fantasy/Supernatural/Action/Psychological/Drama/Super Power"
43047 "mairimashita-iruma-kun-s2" "魔入りました! 入間くん (2021)" 81.99 2 663 "2021-04-17" 2021 4 17 "2021-09-11" 5664 233 "PG" "Teens 13 or older" 21 0 "" "Comedy/Demon/Fantasy/Shounen/Supernatural"
41976 "yuru-camp-2" "ゆるキャン△ 2" 81.92 7 3128 "2021-01-07" 2021 1 7 "2021-04-01" 2741 258 "PG" "Teens 13 or older" 13 299 "" "Slice of Life/School Clubs/Comedy"
43683 "gintama-the-final" "銀魂 THE FINAL" 81.89 0 271 "2021-01-08" 2021 1 8 "2021-01-08" 8065 262 "PG" NA 1 NA "" "Comedy/Parody/Shounen/Action/Swordplay"
42324 "5-toubun-no-hanayome-2" "五等分の花嫁∬" 81.82 52 7955 "2021-01-08" 2021 1 8 "2021-03-26" 1436 284 "PG" "Teens 13 or older" 12 NA "" "Comedy/Harem/Romance/School Life/Shounen"
43083 "mo-dao-zu-shi-3" NA 81.75 1 570 "2021-08-07" 2021 8 7 "2021-10-16" 6024 297 "PG" NA 12 1440 "" "Action/Historical/Demon/Supernatural/Drama/Magic"
44387 "castlevania-season-4" "悪魔城ドラキュラ -キャッスルヴァニア-" 81.71 0 0 "2021-05-13" 2021 5 13 "2021-05-13" 17725 318 "R" NA 10 0 "" "Dark Fantasy/Violence/Vampire/Horror/Action"
43066 "eighty-six" "86―エイティシックス―" 81.69 0 241 "2021-04-11" 2021 4 11 "2021-06-20" 8417 324 "R" "17+ (violence & profanity)" 11 0 "" "Science Fiction/Drama/War"
43886 "jujutsu-kaisen-new-year-s-special" "呪術廻戦" 81.68 0 31 "2021-01-08" 2021 1 8 "2021-01-08" 14637 325 "R" NA 1 24 "" "Supernatural/Action/Demon/Fantasy/Shounen"
43832 "tonikaku-kawaii-ova" "トニカクカワイイ" 81.68 0 145 "2021-08-18" 2021 8 18 "2021-08-18" 9849 326 "PG" "Teens 13 or older" 1 0 "" "Comedy/Romance/Shounen"
41224 "mobile-suit-gundam-hathaways-flash" "機動戦士ガンダム 閃光のハサウェイ" 81.62 0 42 "2021-06-11" 2021 6 11 "2021-06-11" 13569 336 "PG" "13 (Violence) " 1 -180 "" "Action/Military/Science Fiction/Space Battles/Space/Drama/Mecha"
44396 "world-trigger-3" "ワールドトリガー" 81.58 0 0 "2021-10-09" 2021 10 9 NA 17993 340 "PG" "Teens 13 or older" 13 0 "" "Action/Fantasy/Contemporary Fantasy/School Life/Science Fiction/Shounen/Supernatural/Super Power/Swordplay"
42349 "non-non-biyori-3" "のんのんびより のんすとっぷ" 81.54 0 879 "2021-01-11" 2021 1 11 "2021-03-29" 5053 345 "PG" "Teens 13 or older" 12 288 "" "Slice of Life/Comedy/Japan/Friendship/School Life/Countryside/Earth/Present"
42357 "free–the-final-stroke" "劇場版 Free!–the Final Stroke– 前編" 81.51 3 1531 "2021-09-17" 2021 9 17 "2021-09-17" 3985 348 "PG" NA 1 NA "" "Bishounen/Drama/School Life/Sports/School Clubs"
43793 "tian-guan-ci-fu-special" NA 81.3 0 113 "2021-02-16" 2021 2 16 "2021-02-16" 10568 374 "PG" "Teens 13 or older" 1 NA "" "Historical/Supernatural/Drama"
43808 "ryuu-to-sobakasu-no-hime" NA 81.25 0 19 "2021-07-16" 2021 7 16 "2021-07-16" 16004 380 "G" NA NA 610 "" ""
43905 "wu-liuqi-zhi-xuanwu-guo-pian" NA 81.01 1 59 "2021-01-27" 2021 1 27 "2021-05-05" 12421 408 "PG" NA 10 150 "" "Action/Adventure/Comedy/Drama/Martial Arts/Mystery/Super Power"
43620 "wonder-egg-priority" "ワンダーエッグ・プライオリティ" 80.89 9 2361 "2021-01-13" 2021 1 13 "2021-03-31" 3220 422 "R" "17+ (violence & profanity)" 12 288 "" "Slice of Life/Drama/Action/Fantasy/Psychological/Parental Abandonment/Mystery/Friendship/Japan/Thriller"
42991 "the-owl-house-season-2" NA 80.87 0 59 "2021-06-12" 2021 6 12 NA 12420 429 "PG" NA 21 469 "" "Anime Influenced/Kids/Fantasy/Fantasy World/Isekai/Comedy/Magical Girl/Magic"
43829 "gintama-the-semi-final" "銀魂 THE SEMI-FINAL" 80.83 1 196 "2021-01-15" 2021 1 15 "2021-01-20" 8985 436 "PG" NA 2 NA "" "Action/Comedy/Historical/Parody/Samurai/Alien/Humanoid Alien/Shounen"
42720 "megalo-box-2" "メガロボクス2" 80.76 0 968 "2021-04-04" 2021 4 4 "2021-06-27" 4868 452 "R" "Violence, Profanity" 13 0 "" "Sports/Science Fiction/Boxing/Action/Drama"
43546 "sword-art-online-progressive-movie-hoshi-naki-yoru-no-aria" "ソードアート・オンライン プログレッシブ" 80.67 0 485 "2021-10-30" 2021 10 30 "2021-10-30" 6442 474 "PG" "Teens 13 or older" 1 NA "" "Action/Adventure/Virtual Reality/Fantasy/Romance"
42904 "beastars-2nd-season" "BEASTARS 2期" 80.61 11 3894 "2021-01-05" 2021 1 5 "2021-03-25" 2388 487 "R" NA 12 NA "" "Slice of Life/Psychological/Drama/Anthropomorphism/Shounen"
42467 "zombieland-saga-revenge" "ゾンビランドサガ リベンジ" 80.58 1 823 "2021-04-08" 2021 4 8 "2021-06-24" 5166 491 "R" "Violence, Profanity" 12 NA "" "Zombie/Idol/Music/Supernatural/Comedy"
42898 "world-trigger-2" "ワールドトリガー 2" 80.48 1 1265 "2021-01-10" 2021 1 10 "2021-04-04" 4353 512 "PG" "Teens 13 or older" 12 -69 "" "Action/Fantasy/Contemporary Fantasy/Shounen/Supernatural/Science Fiction/School Life/Super Power/Swordplay"
43888 "blue-period" "ブルーピリオド" 80.38 0 20 "2021-09-25" 2021 9 25 "2021-12-25" 15961 535 "PG" "Teens 13 or older" 13 286 "" "Drama/School Life/The Arts/Seinen"
44241 "vanitas-no-carte" "ヴァニタスの手記" 80.11 0 0 "2021-07-02" 2021 7 2 "2021-09-18" 18369 584 "R" "violence & profanity" 12 276 "" "Historical/Supernatural/Vampire/Adventure/Drama/Mystery/Steampunk/Bishounen/Shounen/France"
44123 "bakuten" "バクテン!!" 79.55 0 0 "2021-04-09" 2021 4 9 "2021-06-25" 18349 680 "PG" "Teens 13 or older" 12 0 "" "Sports/Comedy/Drama"
45238 "go-saitama" NA 79.49 0 0 "2021-09-23" 2021 9 23 "2021-09-23" 17767 697 "PG" NA 1 1 "" "Comedy/Action/Superhero"
44233 "takt-op" "takt op.Destiny" 79.45 0 0 "2021-10-05" 2021 10 5 NA 18602 699 "PG" NA 12 0 "" "Music/The Arts/Performance/Action/Contemporary Fantasy/Henshin/Adventure/Alternative Present"
43089 "tensura-nikki-tensei-shitara-slime-datta-ken" "転スラ日記 転生したらスライムだった件" 79 6 2124 "2021-04-06" 2021 4 6 "2021-06-22" 3409 759 "PG" "Teens 13 or older" 12 0 "" "Slice of Life/Comedy/Fantasy/Shounen/Isekai"
44294 "jojo-s-bizarre-adventure-part-6-stone-ocean" "ジョジョの奇妙な冒険 ストーンオーシャン" 78.99 0 0 "2021-12-01" 2021 12 1 NA 18376 760 "R" "17+" NA 0 "" "Shounen/Action/Adventure/United States/Proxy Battles/Super Power"
44470 "bishoujo-senshi-sailor-moon-eternal-movie-2" "劇場版 美少女戦士セーラームーンEternal" 78.87 0 0 "2021-02-11" 2021 2 11 "2021-02-11" 17994 776 "R" NA 1 0 "" "Magical Girl/Magic/Fantasy/Action/Shoujo/Romance"
43576 "uma-musume-pretty-derby-season-2" "ウマ娘 プリティーダービー Season 2" 78.8 0 380 "2021-01-05" 2021 1 5 "2021-03-30" 7089 793 "PG" "Teens 13 or older" 13 -69 "" "Comedy/Juujin/Slice of Life/Sports"
42429 "bishoujo-senshi-sailor-moon-eternal" "劇場版 美少女戦士セーラームーンEternal" 78.68 2 368 "2021-01-08" 2021 1 8 "2021-01-08" 7175 817 "PG" "Teens 13 or older" 1 NA "" "Demon/Magic/Romance/Shoujo/Fantasy/Magical Girl"
43820 "shadows-house" "シャドーハウス" 78.67 0 43 "2021-04-11" 2021 4 11 "2021-07-04" 13496 819 "PG" "Teens 13 or older" 13 0 "" "Slice of Life/Supernatural/Seinen/Mystery/Fantasy/Horror"
43734 "heion-sedai-no-idaten-tachi" "平穏世代の韋駄天達" 78.65 0 75 "2021-07-22" 2021 7 22 "2021-10-01" 11686 821 "R" "violence & profanity" 11 242 "" "Action/Adventure/Demon/Seinen/Fantasy/Fantasy World"
43313 "senpai-ga-uzai-kouhai-no-hanashi" "先輩がうざい後輩の話" 78.65 0 99 "2021-10-09" 2021 10 9 NA 10920 822 "PG" NA 12 0 "" "Comedy/Romance/Working Life"
44393 "sekai-saikou-no-ansatsusha-isekai-kizoku-ni-tensei-suru" "世界最高の暗殺者、異世界貴族に転生する" 78.61 0 0 "2021-10-06" 2021 10 6 NA 18404 835 "R" NA 12 0 "" "Assassin/Action/Fantasy/Fantasy World/Isekai/Magic/Harem"
44297 "tsuki-ga-michibiku-isekai-douchuu" "月が導く異世界道中" 78.48 0 0 "2021-07-07" 2021 7 7 "2021-09-22" 18603 878 "PG" "Teens 13 or older" 12 276 "" "Action/Adventure/Fantasy/Demon/Magic/Comedy/Shounen"
43730 "the-witcher-nightmare-of-the-wolf" NA 78.38 0 4 "2021-08-23" 2021 8 23 "2021-08-23" 17056 898 "R" NA 1 NA "" "Anime Influenced/Magic/Fantasy/Dark Fantasy/High Fantasy/Fantasy World/Action/Adventure"
44336 "gokushufudou-part-2" "極主夫道 パート2" 78.36 0 0 "2021-10-07" 2021 10 7 "2021-10-07" 18390 906 "PG" "Teens 13 or older" 5 85 "" "Slice of Life/Romance/Comedy"
44206 "kageki-shoujo" "かげきしょうじょ!!" 78.3 0 0 "2021-07-04" 2021 7 4 "2021-09-26" 17915 919 "PG" "Teens 13 or older" 13 312 "" "Drama/School Life/The Arts/Seinen/Music/All Girls School/Performance"
42143 "cider-no-you-ni-kotoba-ga-wakiagaru" "サイダーのように言葉が湧き上がる" 78.2 2 679 "2021-07-22" 2021 7 22 "2021-07-22" 5600 945 "G" NA 1 NA "" "Music/Slice of Life/Seinen/Drama/Romance"
42658 "uramichi-oniisan" "うらみちお兄さん" 78.15 0 110 "2021-07-06" 2021 7 6 "2021-09-28" 10643 951 "PG" "Teens 13 or older" 13 312 "" "Comedy/Slice of Life/Working Life/Satire/Josei"
44124 "love-live-superstar" "ラブライブ！スーパースター!!" 78.12 0 0 "2021-07-11" 2021 7 11 "2021-10-17" 18350 957 "PG" "Teens 13 or older" 12 276 "" "Slice of Life/Music/Idol/Performance/Japan"
44789 "shiguang-daili-ren-fan-wai-pian-biwu-zhaoqin" NA 78.03 0 0 "2021-05-28" 2021 5 28 "2021-05-28" 18481 978 "PG" "Teens 13 or older" 1 22 "" "Action/Super Power/Fantasy/Supernatural/Drama/Psychological"
