"number" "anime_name_english" "anime_name_japanese" "rating" "favorite_count" "user_count" "airing_start" "year" "month" "day" "airing_end" "popularity_rank" "rating_rank" "age_rating" "age_rating_Guide" "total_episode" "total_length" "Genres" "Categories"
41003 "guomin-laogong-dai-huijia-3rd-season" "国民老公带回家 第三季" 79.32 47 1978 "2017-10-25" 2017 10 25 "2018-01-10" 3539 719 "PG" NA 12 144 "Drama/Romance" "Romance/School Life"
12551 "uchouten-kazoku-2" "有頂天家族2" 79.2 30 5335 "2017-04-09" 2017 4 9 "2017-06-25" 1947 735 "PG" "Teens 13 or older" 12 276 "Slice of Life/Fantasy/Drama/Comedy" "Comedy/Fantasy/Slice of Life/Drama"
12611 "quan-zhi-gao-shou" NA 79.06 165 17203 "2017-04-07" 2017 4 7 "2017-06-16" 675 752 "PG" "Teens 13 or older" 12 300 "Action/Adventure/Comedy/Game" "Comedy/Virtual Reality/Action/Adventure"
13861 "kobayashi-san-chi-no-maid-dragon-ova" "小林さんちのメイドラゴン バレンタイン, そして温泉! (あまり期待しないでください)" 79 20 9463 "2017-09-20" 2017 9 20 "2017-09-20" 1223 758 "PG" NA 1 24 "Comedy/Fantasy/Slice of Life" "Dragon/Slice of Life/Maid/Fantasy/Comedy"
11931 "mahouka-koukou-no-rettousei-movie-hoshi-wo-yobu-shoujo" "劇場版 魔法科高校の劣等生 星を呼ぶ少女" 78.76 51 15030 "2017-06-17" 2017 6 17 "2017-06-17" 782 800 "R" "Violence, Profanity" 1 90 "Action/Magic/Romance/School/Sci-Fi/Supernatural" "Science Fiction/Magic/Fantasy/School Life/Romance/Action"
13649 "rwby-v-character-shorts" NA 78.73 4 1324 "2017-07-10" 2017 7 10 "2017-10-14" 4262 804 NA NA 3 12 "Anime Influenced" "Adventure/Action/Fantasy/Fantasy World/Anime Influenced"
12555 "fate-kaleid-liner-prisma-illya-movie-sekka-no-chikai" "劇場版 Fate/kaleid liner プリズマ☆イリヤ 雪下の誓い" 78.68 16 5080 "2017-08-26" 2017 8 26 "2017-08-26" 2012 818 "PG" "Teens 13 or older" 1 1 "Action/Fantasy/Magic/Mahou Shoujo" "Magic/Fantasy/Action/Magical Girl"
12233 "haikara-san-ga-tooru-movie-1" "劇場版 はいからさんが通る 前編 ～紅緒、花の17歳～" 78.65 6 2495 "2017-11-11" 2017 11 11 "2017-11-11" 3129 823 NA NA 1 1 "Comedy/Historical/Romance" "Comedy/Historical/Romance"
12628 "girls-und-panzer-saishuushou-part-1" "ガールズ&パンツァー 最終章" 78.58 7 3014 "2017-12-09" 2017 12 9 "2017-12-09" 2813 845 "PG" "Teens 13 or older" 1 46 "" "School Life/Military/School Clubs/All Girls School/Friendship/Sports"
13318 "cardcaptor-sakura-clear-card-hen-prologue-sakura-to-futatsu-no-kuma" "カードキャプターさくら クリアカード編 プロローグ さくらとふたつのくま" 78.56 14 2874 "2017-09-13" 2017 9 13 "2017-09-13" 2877 854 "G" NA 1 26 "Romance/Mahou Shoujo/Fantasy/Magic" "Magic/Fantasy/Magical Girl/Shoujo"
13236 "new-game-2" "NEW GAME!!" 78.52 86 13940 "2017-07-11" 2017 7 11 "2017-09-26" 838 868 "PG" "Teens 13 or older" 12 288 "Game/Slice of Life/Comedy/Workplace" "Comedy/Slice of Life/Working Life"
13248 "rwby-chibi-2" NA 78.3 4 988 "2017-05-13" 2017 5 13 "2017-12-14" 4822 921 NA NA 24 96 "Anime Influenced/Fantasy/Comedy" "Super Deformed/Comedy/Fantasy/Fantasy World/Anime Influenced"
41002 "guomin-laogong-dai-huijia-2nd-season" "国民老公带回家 第二季" 78.11 9 1070 "2017-05-01" 2017 5 1 "2017-07-03" 4677 964 "PG" NA 12 132 "Drama/School/Romance" "Romance/School Life"
13503 "youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e-tv" "ようこそ実力至上主義の教室へ" 77.91 312 29619 "2017-07-12" 2017 7 12 "2017-09-27" 338 993 "PG" "Teens 13 or older" 12 288 "School/Romance/Comedy/Psychological/Slice of Life/Drama" "Comedy/School Life/Slice of Life/Drama/Romance/Psychological"
13226 "hoozuki-no-reitetsu-2nd-season" "鬼灯の冷徹 第弐期" 77.59 8 2700 "2017-10-08" 2017 10 8 "2017-12-31" 2989 1058 "PG" "Teens 13 or older" 13 NA "Demons/Fantasy/Supernatural/Comedy" "Comedy/Demon/Fantasy"
14153 "mahoutsukai-no-yome-recap" "魔法使いの嫁 スペシャルダイジェスト" 77.57 9 1479 "2017-12-31" 2017 12 31 "2017-12-31" 4054 1066 "PG" NA 1 24 "Magic/Fantasy/Slice of Life" "Magic/Fantasy/Contemporary Fantasy/Slice of Life/Europe/Earth"
12959 "seitokai-yakuindomo-movie" "劇場版 生徒会役員共" 77.56 8 3436 "2017-07-21" 2017 7 21 "2017-07-21" 2574 1069 "R" "17+ (violence & profanity)" 1 60 "Comedy/School/Slice of Life" "Comedy/School Life/Slice of Life/High School/Friendship/Ecchi/Slapstick/Shounen/Japan"
12055 "super-lovers-ova" "SUPER LOVERS（スーパーラヴァーズ）" 77.55 15 2254 "2017-01-01" 2017 1 1 "2017-09-01" 3304 1072 "PG" "Teens 13 or older" 2 43 "Slice of Life/Comedy/Drama/Romance/Shounen Ai" "Comedy/Shounen Ai/Drama/Romance"
41245 "cmfu-xueyuan-shenshi-ji-jijian" "CMFU学院：绅士击击剑" 77.53 1 239 "2017-11-21" 2017 11 21 "2018-05-02" 8444 1076 "G" NA 24 288 "Sports/School/Romance" "Romance/School Life/Swordplay/School Clubs/Sports"
11423 "sword-art-online-ordinal-scale" "劇場版 ソードアート・オンライン -オーディナル・スケール-" 77.51 255 32666 "2017-02-18" 2017 2 18 "2017-02-18" 293 1080 "PG" "Teens 13 or older" 1 110 "Game/Romance/Fantasy/Adventure/Action" "Science Fiction/Action/Fantasy/Adventure/Romance/Virtual Reality"
13122 "yuuki-yuuna-wa-yuusha-de-aru-washio-sumi-no-shou-movie-3" "結城友奈は勇者である -鷲尾須美の章- 第３章「やくそく」" 77.5 2 1514 "2017-07-08" 2017 7 8 "2017-07-08" 4007 1087 "PG" "Teens 13 or older" 1 48 "Magic/Fantasy/Slice of Life/Drama/Mahou Shoujo/Friendship" "Magic/Fantasy/Slice of Life/Drama/Friendship/Magical Girl"
12198 "mobile-suit-gundam-the-origin-loum-arc" "機動戦士ガンダムTHE ORIGIN ルウム編" 77.5 6 667 "2017-11-09" 2017 11 9 "2018-05-05" 5643 1085 "R" NA 2 NA "Mecha/Military/Space/Sci-Fi/Action" "Science Fiction/Space/Military/Mecha/Action"
13258 "tsurezure-children" "徒然チルドレン" 77.38 157 29326 "2017-07-04" 2017 7 4 "2017-09-19" 342 1125 "PG" NA 12 NA "School/Romance/Comedy" "Comedy/School Life/Romance"
13703 "net-juu-no-susume" "ネト充のススメ" 77.35 165 23588 "2017-10-06" 2017 10 6 "2017-12-08" 457 1131 "PG" "Teens 13 or older" 10 231 "Comedy/Game/Romance" "Comedy/Romance"
12768 "nanbaka-2-season" "ナンバカ 2期" 77.23 30 7404 "2017-01-04" 2017 1 4 "2017-03-22" 1532 1160 "PG" "Teens 13 or older" 12 276 "Drama/Action/Comedy" "Comedy/Action"
12584 "overlord-fushisha-no-ou" "【前編】劇場版総集編 オーバーロード 不死者の王" 77.2 12 4140 "2017-02-25" 2017 2 25 "2017-02-25" 2312 1168 "R" "17+ (violence & profanity)" 1 100 "Action/Adventure/Fantasy/Game/Magic/Supernatural" "Magic/Virtual Reality/Action/Adventure/Fantasy/Fantasy World/Violence"
13209 "black-clover-tv" "ブラッククローバー" 77.18 1210 53539 "2017-10-03" 2017 10 3 "2021-03-30" 141 1175 "PG" "Teens 13 or older" 170 4050 "Comedy/Magic/Fantasy/Action" "Comedy/Magic/Fantasy/Action/Shounen/Fantasy World"
13294 "gabriel-dropout-specials" "ガヴリールドロップアウトOVA" 77.11 5 4063 "2017-03-24" 2017 3 24 "2017-05-24" 2338 1189 "PG" "Teens 13 or older" 2 28 "Demons/School/Supernatural/Comedy" "Comedy/Fantasy/School Life"
40585 "turning-mecard-w-season-2" NA 77.06 6 316 "2017-03-02" 2017 3 2 "2017-08-24" 7639 1196 "PG" NA 26 728 "Mecha/Game/Kids/Cars/Adventure" "Adventure/Proxy Battles/Mecha/Anime Influenced"
10909 "saenai-heroine-no-sodatekata-flat" "冴えない彼女〈ヒロイン〉の育てかた♭" 77.04 74 15627 "2017-04-14" 2017 4 14 "2017-06-23" 748 1203 "PG" "Teens 13 or older" 11 242 "Comedy/Romance/School/Harem/Ecchi" "Comedy/School Life/Harem/Romance/Ecchi"
41287 "uchuu-senkan-yamato-2202-ai-no-senshi-tachi-2018" "宇宙戦艦ヤマト2202愛の戦士たち 「嚆矢篇」" 77 4 308 "2017-02-25" 2017 2 25 "2019-03-01" 7700 1218 "PG" "Teens 13 or older" 2 50 "Drama" "Space Opera/Space Battles/Shipboard/Space Travel/Mecha/Space/Humanoid Alien/Future/War/Military"
41365 "hua-jianghu-zhi-huan-shi-men-sheng" "画江湖之换世门生" 77 9 351 "2017-09-14" 2017 9 14 "2018-01-25" 7299 1215 "R" NA 40 880 "Drama/Mystery/Martial Arts/Fantasy/Romance/Action" "Fantasy/Action/Martial Arts/Mystery/Romance"
13508 "shokugeki-no-souma-ni-no-sara-ova" "食戟のソーマ 弍ノ皿" 76.99 19 8051 "2017-05-01" 2017 5 1 "2017-07-04" 1418 1224 "PG" "Teens 13 or older" 2 50 "Ecchi/School" "School Life/Ecchi/Shounen"
12529 "demi-chan-wa-kataritai" "亜人ちゃんは語りたい" 76.77 144 21579 "2017-01-08" 2017 1 8 "2017-03-26" 519 1279 "PG" "Teens 13 or older" 12 276 "Vampire/School/Comedy/Fantasy" "Comedy/School Life/Fantasy/Vampire"
12318 "hitorijime-my-hero" "ひとりじめマイヒーロー" 76.73 123 7783 "2017-07-08" 2017 7 8 "2017-09-23" 1463 1288 "PG" NA 12 288 "School/Shounen Ai/Slice of Life/Drama/Romance/Yaoi" "School Life/Slice of Life/Shounen Ai/Yaoi"
13232 "donten-ni-warau-gaiden-ketsubetsu-yamainu-no-chikai" "曇天に笑う＜外伝＞ ～決別、犲の誓い～" 76.7 5 972 "2017-12-02" 2017 12 2 "2017-12-02" 4857 1297 "PG" "Teens 13 or older" 1 NA "Historical/Supernatural/Action" "Fantasy/Historical/Action"
40617 "servamp-hai-ni-mamireta-shoukei-all-the-world-s-a-stage" "『SERVAMP-サーヴァンプ-』 灰に塗れた憧憬：All the world's a stage" 76.67 5 666 "2017-01-25" 2017 1 25 "2017-01-25" 5649 1303 "R" "17+ (violence & profanity)" 1 4 "Comedy/Drama" "Josei"
13402 "mahoujin-guru-guru-2017" "魔法陣グルグル" 76.64 37 2823 "2017-07-12" 2017 7 12 "2017-12-20" 2900 1313 "PG" "Teens 13 or older" 24 576 "Fantasy/Magic/Comedy/Adventure" "Comedy/Magic/Fantasy/Adventure"
14154 "emiya-san-chi-no-kyou-no-gohan" "衛宮さんちの今日のごはん" 76.59 32 6031 "2017-12-31" 2017 12 31 "2019-01-01" 1801 1334 "PG" "13 - Teens 13 or older" 13 167 "Comedy/Slice of Life" "Slice of Life/Cooking/Comedy"
13247 "rwby-v" NA 76.58 46 3419 "2017-10-14" 2017 10 14 "2018-01-20" 2581 1339 "PG" NA 14 322 "Anime Influenced/Fantasy/Adventure/Action" "Fantasy/Action/Adventure/Fantasy World/Anime Influenced"
12530 "lupin-the-IIIrd-chikemuri-no-ishikawa-goemon" "LUPIN THE IIIRD 血煙の石川五ェ門" 76.51 10 1854 "2017-02-04" 2017 2 4 "2017-02-04" 3650 1360 "R" NA 1 1 "Drama/Comedy/Adventure/Action/Crime" "Comedy/Drama/Action/Crime/Adventure/Seinen"
12138 "gochuumon-wa-usagi-desu-ka-dear-my-sister" "ご注文はうさぎですか?? ～Dear My Sister～" 76.34 7 2315 "2017-11-11" 2017 11 11 "2017-11-11" 3260 1414 "PG" "Teens 13 or older" 1 59 "Comedy/Slice of Life" "Comedy/Slice of Life"
12500 "doraemon-movie-37-nobita-no-nankyoku-kachi-kochi-daibouken" "映画 ドラえもん のび太の南極カチコチ大冒険" 76.33 0 284 "2017-03-04" 2017 3 4 "2017-03-04" 7911 1418 "PG" "Children" 1 105 "Adventure/Comedy/Fantasy/Kids" "Comedy/Fantasy/Adventure/Kids"
12769 "shuumatsu-nani-shitemasu-ka-isogashii-desu-ka-sukutte-moratte-ii-desu-ka" "終末なにしてますか？忙しいですか？救ってもらっていいですか？" 76.26 172 17269 "2017-04-11" 2017 4 11 "2017-06-27" 671 1434 "PG" "Teens 13 or older" 12 288 "Drama/Fantasy/Romance/Sci-Fi" "Science Fiction/Fantasy/Drama/Romance/Post Apocalypse/Juujin/Fantasy World/Magic/Floating Island/Plot Continuity"
12064 "kishibe-rohan-wa-ugokanai" "岸辺露伴は動かない" 76.2 8 3087 "2017-09-20" 2017 9 20 "2019-12-08" 2765 1449 "R" "Violence, Profanity" 4 96 "Action/Adventure/Mystery/Supernatural" "Action/Adventure/Contemporary Fantasy/Mystery"
13096 "inuyashiki" "いぬやしき" 76.2 129 23187 "2017-10-13" 2017 10 13 "2017-12-22" 469 1450 "R" "Violence, Profanity" 11 253 "Sci-Fi/Psychological/Drama/Action" "Science Fiction/Drama/Action/Psychological/Android"
14239 "wu-geng-ji-2nd-season" NA 76.13 3 197 "2017-12-29" 2017 12 29 "2018-10-05" 8964 1472 "PG" "Teens 13 or older" 42 672 "Supernatural/Martial Arts/Historical/Fantasy/Action" "Action/Historical/Fantasy/Martial Arts"
12245 "super-lovers-2nd-season" "SUPER LOVERS（スーパーラヴァーズ）  2" 76.1 51 5117 "2017-01-12" 2017 1 12 "2017-03-16" 2002 1484 "PG" "Teens 13 or older" 10 240 "Slice of Life/Comedy/Drama/Romance/Shounen Ai" "Comedy/Shounen Ai/Drama/Romance"
12275 "ao-no-exorcist-2" "青の祓魔師 京都不浄王篇" 76.08 114 31587 "2017-01-07" 2017 1 7 "2017-03-25" 313 1489 "PG" "Teens 13 or older" 12 288 "Action/Demons/Fantasy/Supernatural" "Fantasy/Action/Comedy/Demon/Shounen"
11583 "yowamushi-pedal-3rd-season" "弱虫ペダル NEW GENERATION" 76.07 9 4215 "2017-01-10" 2017 1 10 "2017-06-27" 2285 1492 "PG" "Teens 13 or older" 25 575 "Comedy/Drama/Sports/Racing" "Comedy/Sports/Motorsport/Drama"
12772 "detective-conan-movie-21-deep-red-love-letter" "劇場版『名探偵コナン から紅の恋歌』" 76.06 3 1440 "2017-04-15" 2017 4 15 "2017-04-15" 4104 1497 "G" "All Ages" 1 112 "Action/Drama/Historical/Mystery/Police/Romance" "Cops/Historical/Drama/Romance/Action/Mystery"
13980 "miraculous-tales-from-paris" NA 76.02 3 203 "2017-01-18" 2017 1 18 "2017-04-03" 8885 1509 "G" NA 5 15 "Anime Influenced" "Magic/Magical Girl/Friendship/Anime Influenced"
13261 "princess-principal" "プリンセス・プリンシパル" 75.99 97 12429 "2017-07-09" 2017 7 9 "2017-09-24" 957 1518 "R" "Violence, Profanity" 12 300 "Mystery/Historical/Action" "Action/Steampunk/United Kingdom/Mystery/Alternative Past/Special Squads"
12202 "acca-13-ku-kansatsu-ka" "ACCA 13区監察課" 75.97 115 9854 "2017-01-10" 2017 1 10 "2017-03-28" 1186 1523 "R" "17+ (violence & profanity)" 12 288 "Mystery/Drama/Police/Fantasy/Political" "Cops/Fantasy/Drama/Politics"
12017 "uchuu-senkan-yamato-2202-ai-no-senshi-tachi-koshi-hen" "宇宙戦艦ヤマト2202 愛の戦士たち" 75.93 2 1341 "2017-02-25" 2017 2 25 "2017-02-25" 4233 1536 "PG" "Teens 13 or older" 2 50 "Action/Drama/Military/Sci-Fi/Space" "Science Fiction/Space/Military/Drama/Action/Space Opera/Space Battles/Shipboard/Space Travel/Other Planet"
13783 "pingu-in-the-city" "ピングー in ザ・シティ" 75.9 26 2456 "2017-10-07" 2017 10 7 "2018-03-31" 3158 1551 "G" "All Ages" 26 182 "Comedy/Kids/Slice of Life" "Comedy/Slice of Life/Anthropomorphism"
12892 "yuuki-yuuna-wa-yuusha-de-aru-washio-sumi-no-shou-movie-2" "結城友奈は勇者である -鷲尾須美の章- 第２章「たましい」" 75.86 1 1212 "2017-04-15" 2017 4 15 "2017-04-15" 4420 1563 "PG" "Teens 13 or older" 1 48 "Magic/Fantasy/Slice of Life/Drama/Mahou Shoujo/Friendship" "Magic/Fantasy/Slice of Life/Drama/Friendship/Magical Girl"
41669 "girls-panzer-dai-63-kai-senshadou-zenkoku-koukousei-taikai-soushuuhen" "ガールズ&パンツァー 第63回戦車道全国高校生大会 総集編" 75.79 2 241 "2017-11-11" 2017 11 11 "2017-11-11" 8408 1588 "PG" "Teens 13 or older" 1 2 "School/Military/Action" ""
13160 "yuuki-yuuna-wa-yuusha-de-aru-yuusha-no-shou-tv" "結城友奈は勇者である -勇者の章-" 75.78 11 2834 "2017-11-25" 2017 11 25 "2018-01-06" 2894 1590 "PG" "Teens 13 or older" 6 144 "Magic/Fantasy/Slice of Life/Drama" "Magic/Fantasy/Slice of Life/Drama/Magical Girl"
14238 "huyao-xiao-hongniang-nan-guo" NA 75.6 3 471 "2017-11-24" 2017 11 24 "2018-06-22" 6506 1636 "PG" "Teens 13 or older" 26 442 "Comedy/Supernatural/Historical/Romance" "Comedy/Fantasy/Historical/Romance"
41105 "full-metal-panic-movie-1" "フルメタル・パニック！1" 75.6 0 296 "2017-11-25" 2017 11 25 "2017-11-25" 7812 1635 "PG" NA 1 120 "Comedy/Sci-Fi/Military/Mecha/Action" "Mecha/Piloted Robot/Military/Action/Comedy/Science Fiction"
13299 "love-live-sunshine-2nd-season" "ラブライブ！サンシャイン!! 第2期" 75.49 47 5802 "2017-10-07" 2017 10 7 "2017-12-30" 1849 1667 "PG" "Teens 13 or older" 13 312 "Music/School/Slice of Life" "School Life/Music/Slice of Life/Idol"
12502 "koutetsujou-no-kabaneri-soushuuhen-2" "甲鉄城のカバネリ 総集編｛後編｝燃える命" 75.45 3 2169 "2017-01-07" 2017 1 7 "2017-01-07" 3373 1684 "R" "17+ (violence & profanity)" 1 1 "Action/Drama/Fantasy/Horror/Zombies" "Fantasy/Horror/Drama/Action/Zombie"
12511 "boku-no-hero-academia-ova" "僕のヒーローアカデミア救え!救助訓練" 75.43 54 10545 "2017-04-04" 2017 4 4 "2017-04-04" 1119 1689 "PG" "Teens 13 or older" 1 25 "School/Super Power/Comedy/Action" "Comedy/Super Power/School Life/Action/Superhero/Shounen"
13591 "demi-chan-wa-kataritai-special" "亜人ちゃんは語りたい 亜人ちゃんの夏休み" 75.35 9 5227 "2017-06-29" 2017 6 29 "2017-06-29" 1977 1718 "PG" NA 1 24 "Comedy/School/Vampire/Fantasy" "School Life/Fantasy/Vampire/Comedy/Summer"
13326 "osomatsu-san-2" "おそ松さん 第2期" 75.26 23 3347 "2017-10-03" 2017 10 3 "2018-03-26" 2620 1760 "R" "Violence, Profanity" 25 NA "Parody/Comedy" "Comedy/Parody/Japan/Present"
13125 "yuuki-yuuna-wa-yuusha-de-aru-washio-sumi-no-shou-movie-1" "結城友奈は勇者である -鷲尾須美の章- 第１章「ともだち」" 75.2 0 1183 "2017-03-18" 2017 3 18 "2017-03-18" 4461 1780 "PG" "Teens 13 or older" 1 48 "Magic/Fantasy/Slice of Life/Drama/Mahou Shoujo/Friendship" "Magic/Fantasy/Slice of Life/Drama/Friendship/Magical Girl"
11883 "senki-zesshou-symphogear-axz-by-shedding-many-tears-the-reality-you-face-is" "戦姫絶唱シンフォギアAXZ〈アクシズ〉" 75.19 15 2426 "2017-07-02" 2017 7 2 "2017-09-24" 3183 1785 "PG" "Teens 13 or older" 13 312 "Action/Music/Sci-Fi" "Science Fiction/Music/Action"
40589 "thunderbolt-fantasy-the-sword-of-life-and-death" NA 75.05 2 266 "2017-12-02" 2017 12 2 "2017-12-02" 8117 1840 "PG" NA 1 75 "" "Adventure/Historical/Fantasy/Action"
12678 "yuuki-yuuna-wa-yuusha-de-aru-washio-sumi-no-shou" "結城友奈は勇者である -鷲尾須美の章-" 75 9 3110 "2017-10-07" 2017 10 7 "2017-11-11" 2752 1852 "PG" "Teens 13 or older" 6 144 "Drama/Fantasy/Magic/Slice of Life/Mahou Shoujo/Friendship" "Magic/Fantasy/Slice of Life/Drama/Friendship/Magical Girl"
13788 "itsudatte-bokura-no-koi-wa-10-centi-datta" "いつだって僕らの恋は10センチだった。" 74.99 41 9585 "2017-11-25" 2017 11 25 "2017-12-30" 1211 1855 "PG" "Teens 13 or older" 6 138 "Comedy/School/Drama/Romance" "Comedy/Romance/School Life"
13752 "konohana-kitan" "このはな綺譚" 74.97 47 8386 "2017-10-04" 2017 10 4 "2017-12-20" 1372 1861 "PG" "Teens 13 or older" 12 288 "Fantasy/Shoujo Ai/Slice of Life" "Slice of Life/Fantasy/Shoujo Ai/Juujin"
13252 "kakegurui" "賭ケグルイ" 74.7 524 44481 "2017-07-01" 2017 7 1 "2017-09-23" 186 1963 "R" "Violence, Profanity" 12 300 "School/Psychological/Mystery/Drama/Game" "School Life/Psychological/Card Games/Mystery"
8274 "mahou-shoujo-lyrical-nanoha-reflection" "魔法少女リリカルなのは Reflection" 74.68 7 1461 "2017-07-22" 2017 7 22 "2017-07-22" 4080 1972 NA NA 1 107 "Action/Comedy/Drama/Magic/Super Power/Mahou Shoujo" "Comedy/Magic/Super Power/Drama/Action/Magical Girl"
12497 "gabriel-dropout" "ガヴリールドロップアウト" 74.66 161 21239 "2017-01-09" 2017 1 9 "2017-03-27" 531 1981 "PG" "Teens 13 or older" 12 276 "Demons/Comedy/School/Supernatural" "Comedy/Fantasy/School Life"
13716 "uchiage-hanabi" "打上花火" 74.66 3 1539 "2017-08-09" 2017 8 9 "2017-08-09" 3970 1980 "G" NA 1 5 "Music" "Music/Romance/School Life/Summer"
13941 "yowamushi-pedal-re-generation" "弱虫ペダル Re:GENERATION" 74.66 1 325 "2017-10-13" 2017 10 13 "2017-10-13" 7533 1978 "PG" "Teens 13 or older" 1 1 "Comedy/Sports/Drama" ""
12962 "pripara-movie-minna-de-kagayake-kirarin-star-live" "劇場版プリパラ み~んなでかがやけ! キラリン☆スターライブ!" 74.65 1 147 "2017-03-04" 2017 3 4 "2017-03-04" 9803 1989 "PG" "Children" 1 56 "School/Music/Slice of Life" "School Life/Music/Slice of Life/Shoujo"
41283 "free-movie-2-timeless-medley-yakusoku-character-butai-aisatsu" "劇場版 Free!-Timeless Medley- 約束 キャラクター舞台挨拶" 74.55 0 256 "2017-07-01" 2017 7 1 "2017-07-01" 8222 2029 "G" NA 4 20 "Comedy" "Comedy/Bishounen/Sports"
41325 "drifters-ova-2017" "DRIFTERS" 74.5 1 2633 "2017-12-23" 2017 12 23 "2017-12-23" 3038 2046 "R" NA 2 52 "Comedy/Historical/Samurai/Fantasy/Action/Adventure" "Adventure/Action/Seinen/Fantasy/Fantasy World/Historical/Samurai/Isekai"
12598 "king-of-prism-pride-the-hero" "KING OF PRISM -PRIDE the HERO-" 74.49 2 349 "2017-06-10" 2017 6 10 "2017-06-10" 7309 2054 "PG" "Children" 1 0 "Music/Sports" "Sports/Music"
13233 "hibike-euphonium-movie-todoketai-melody" "劇場版 響け！ユーフォニアム～届けたいメロディ～" 74.43 2 1681 "2017-09-30" 2017 9 30 "2017-09-30" 3815 2078 "PG" "Teens 13 or older" 1 115 "Music/School/Drama" "School Life/Music/Musical Band"
13055 "re-creators" "Re:CREATORS 〈レクリエイターズ〉" 74.42 188 23360 "2017-04-08" 2017 4 8 "2017-09-16" 465 2083 "R" "Violence, Profanity" 22 528 "Sci-Fi/Fantasy/Action" "Action/Fantasy/Contemporary Fantasy/Japan/Battle Royale/Science Fiction"
10902 "shingeki-no-bahamut-virgin-soul" "神撃のバハムート VIRGIN SOUL" 74.39 73 13901 "2017-04-08" 2017 4 8 "2017-09-29" 845 2091 "R" "17+ (violence & profanity)" 24 553 "Action/Adventure/Demons/Fantasy/Magic/Supernatural" "Magic/Demon/Action/Adventure/Fantasy"
14061 "net-juu-no-susume-special" "ネト充のススメ" 74.39 11 6324 "2017-12-08" 2017 12 8 "2017-12-08" 1741 2090 "PG" "Teens 13 or older" 1 24 "Comedy/Game/Romance" "Comedy"
12667 "oushitsu-kyoushi-haine" "王室教師ハイネ" 74.37 52 7894 "2017-04-05" 2017 4 5 "2017-06-21" 1446 2095 "PG" NA 12 276 "Slice of Life/Comedy/Historical" "Comedy/Historical"
14149 "yaoguai-mingdan-2nd-season" "妖怪名单第2季" 74.35 3 396 "2017-08-03" 2017 8 3 "2017-12-28" 6985 2103 "R" "Violence & profanity" 21 336 "Comedy/Fantasy/Romance/Action" "Action/Violence/Comedy/Fantasy/Romance"
42250 "shingeki-no-kyojin-in-the-dome-heishi-tachi-no-hoshizora" "進撃の巨人 IN THE DOME -兵士たちの星空-" 74.32 0 311 "2017-05-20" 2017 5 20 "2017-05-20" 7673 2123 "PG" NA 1 NA "" "Space/Military/Shounen"
13778 "glory-days" "Glory Days" 74.3 0 176 "2017-08-31" 2017 8 31 "2017-08-31" 9293 2134 "G" NA 1 4 "Mecha/Music/Action" "Science Fiction/Action/Future/Piloted Robot/Mecha/Military/Earth/Alien"
13467 "kino-no-tabi-the-beautiful-world-the-animated-series" "キノの旅 -the Beautiful World- the Animated Series" 74.29 38 9555 "2017-10-06" 2017 10 6 "2017-12-22" 1212 2136 "R" "Violence, Profanity" 12 288 "Slice of Life/Adventure/Action" "Slice of Life/Action/Adventure"
41634 "ajin-2nd-season-ova" "佐藤 ZERO" 74.28 0 409 "2017-04-07" 2017 4 7 "2017-04-07" 6878 2145 "R" "None" 1 21 "Mystery/Supernatural/Horror/Action" "Mystery/Supernatural/Horror/Action/Seinen"
13465 "blend-s" "ブレンド・S" 74.28 207 24685 "2017-10-08" 2017 10 8 "2017-12-24" 429 2141 "PG" "Teens 13 or older" 12 288 "Slice of Life/Comedy" "Comedy/Slice of Life"
12682 "crayon-shin-chan-movie-25-shin-chan-shuurai-uchuujin-shiriri" "映画クレヨンしんちゃん　襲来!! 宇宙人シリリ" 74.22 0 179 "2017-04-15" 2017 4 15 "2017-04-15" 9254 2165 "G" "All Ages" 1 103 "Sci-Fi/Adventure/Comedy/Kids" "Comedy/Kids"
13464 "dance-with-devils-fortuna" "Dance with Devils -Fortuna-" 74.14 8 1574 "2017-11-02" 2017 11 2 "2017-11-02" 3932 2198 "R" "Violence, Profanity" 1 120 "Vampire/Harem/Demons/Romance/Supernatural" "Fantasy/Demon/Harem/Romance"
41670 "owarimonogatari-2nd-season-recaps" "終わりに向かう物語; 阿良々木暦ノ物語" 74.11 2 597 "2017-08-12" 2017 8 12 "2017-08-13" 5903 2213 "R" "17+ (violence & profanity)" 2 50 "Comedy/Mystery/Supernatural/Vampire" ""
13293 "idol-time-pripara" "アイドルタイムプリパラ" 74.1 4 466 "2017-04-04" 2017 4 4 "2018-03-27" 6536 2216 "PG" "Children" 51 1224 "Music/School" "School Life/Music/Shoujo"
40595 "doupo-cangqiong-specials" "斗破苍穹 特别篇" 74.1 0 151 "2017-09-30" 2017 9 30 "2017-10-07" 9733 2217 "PG" "Teens 13 or older" 2 NA "Demons/Fantasy/Action/Adventure" "Adventure/Action/Fantasy/Demon"
13885 "hitori-no-shita-the-outcast-2nd-season" "一人之下 THE OUTCAST 2ndシーズン" 74.05 10 2729 "2017-10-27" 2017 10 27 "2018-05-18" 2966 2235 "R" "Violence, Profanity" 24 576 "Supernatural/Super Power/Action" "Super Power/Zombie"
